Registrikood;Nimi;Liik;Registreeritud käibemaksukohustuslaste registrisse;EMTAK tegevusvaldkond, mis on EMTAKi struktuuris tähistatud tähtkoodiga;Maakond;Riiklikud Maksud;Tööjõumaksud Ja Maksed;Kaive;Tootajaid
14413378;DESY OÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Rae vald );308,3;331,85;;1
14413409;BALTIC TRADE HOUSE OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );;;0;
14413415;TELEPAAT OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );6362,93;2416,65;8000;3
14413467;AKPC OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );11952,81;6900,4;28920;1
14413510;RAE PUUSEPAD OÜ;Äriühing;jah;EHITUS;Harju ( Anija vald );261,17;0;59372,42;
14413540;LANAHAIR OÜ;Äriühing;ei;MUUD TEENINDAVAD TEGEVUSED;Harju ( Harku vald );753,39;805,59;;1
14413591;EVOND OÜ;Äriühing;jah;KUNST, MEELELAHUTUS JA VABA AEG;Harju ( Saue vald );1653,28;0;8003,95;
14413639;EKM TRADE OÜ;Äriühing;jah;EHITUS;Pärnu ( Tori vald );1544,67;702,81;9523,3;1
14413680;REUMATOLOOG R. TIIMUS OÜ;Äriühing;ei;TERVISHOID JA SOTSIAALHOOLEKANNE;Lääne-Viru ( Rakvere linn );3142,67;945;;
14413728;OÜ REKTO;Äriühing;jah;EHITUS;Jõgeva ( Põltsamaa vald );6956,73;8981,88;11066,96;5
14413763;ALOCON EHITUS OÜ;Äriühing;jah;EHITUS;Harju ( Tallinn );;;0;
14413817;RENDOVI OÜ;Äriühing;ei;HALDUS- JA ABITEGEVUSED;Harju ( Harku vald );;;;1
14413833;HEXAWARE TECHNOLOGIES EESTI FILIAAL;Äriühing;ei;INFO JA SIDE;Harju ( Tallinn );8041,91;8718,75;;1
14413869;APARTACO OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Tartu ( Tartu linn );43806,33;0;200819,68;
14413929;VIKKE STAIL UÜ;Äriühing;ei;MUUD TEENINDAVAD TEGEVUSED;Ida-Viru ( Kohtla-Järve linn );465,56;495,09;;2
14413935;LEMIRA OÜ;Äriühing;ei;MUUD TEENINDAVAD TEGEVUSED;Harju ( Tallinn );126,72;132,66;;2
14413941;SNG RACING OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Kose vald );;;;
14413970;GALERII KOGO OÜ;Äriühing;ei;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Tartu ( Tartu linn );;;;1
14413987;SYNDELTA OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Kuusalu vald );;;59131;
14414018;GSRESTO TEENUSED OÜ;Äriühing;ei;MAJUTUS JA TOITLUSTUS;;;;;1
