Registrikood;Nimi;Liik;Registreeritud käibemaksukohustuslaste registrisse;EMTAK tegevusvaldkond, mis on EMTAKi struktuuris tähistatud tähtkoodiga;Maakond;Riiklikud Maksud;Tööjõumaksud Ja Maksed;Kaive;Tootajaid
10001638;TAPA PUIT, OÜ;Äriühing;ei;KINNISVARAALANE TEGEVUS;Lääne-Viru ( Tapa vald );18,67;0;;
10001689;ESTIKO-PLASTAR, AS;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Tartu ( Tartu linn );799124,66;799890,31;16115534,41;196
10001710;AHTO ÄRITEENUSTE OÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Jõgeva ( Põltsamaa vald );1204,58;1259,47;;1
10001791;ILMRE OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Tartu ( Tartu linn );67630,75;70766,08;1421760,1;32
10001839;OÜ BRAMHAM TRADE;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );52089,83;20700,49;322125,35;10
10001880;SPIDER AUTOGRUPP, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Lääne-Viru ( Rakvere linn );2803,42;0;17919,62;
10001905;TENTAMEN, OÜ;Äriühing;ei;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );1435,5;1529,64;;2
10001928;K-KREEDIT, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Järva ( Türi vald );7934,28;4881,39;15719,4;2
10001940;AUTO ID OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );45795,39;11469,93;314607,3;4
10001957;CE TEHNIKA OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );831,34;0;4492;1
10001992;REISIBÜROO MERE, OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Saare ( Saaremaa vald );0;0;0;
10002098;TAASTUSRAVIKESKUS VIIKING, AS;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Pärnu ( Pärnu linn );193819,23;168467,11;1283939,03;131
