Registrikood;Nimi;Liik;Registreeritud käibemaksukohustuslaste registrisse;EMTAK tegevusvaldkond, mis on EMTAKi struktuuris tähistatud tähtkoodiga;Maakond;Riiklikud Maksud;Tööjõumaksud Ja Maksed;Kaive;Tootajaid
10821399;LANDORF GRUPP, OÜ;Äriühing;ei;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );18750;0;;
10821465;MIURA INVESTEERINGUD, OÜ;Äriühing;ei;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );1200,2;1214,7;;
10821471;PROLIS GRUPP OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Harju ( Tallinn );18678,86;19844,75;70922,3;7
10821525;OÜ MONDE CONSULT;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Viimsi vald );966,5;79,36;4762,84;1
10821577;LEHT JA MARGUS, OÜ;Äriühing;ei;TERVISHOID JA SOTSIAALHOOLEKANNE;Harju ( Tallinn );66902,75;39828,86;;7
10821614;ESTELEKTER, OÜ;Äriühing;jah;EHITUS;Harju ( Jõelähtme vald );20715,28;8119,96;97024,35;4
10821637;HALSKERT, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );148,67;0;900;
10821643;WESTCONSULT, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );;;0;
10821726;TDM CONSULT OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );811,33;0;5283,76;
10821790;MAGDALEENA TERVISEKESKUS, OÜ;Äriühing;ei;TERVISHOID JA SOTSIAALHOOLEKANNE;Harju ( Tallinn );72476,11;66029,94;;16
10821821;KRISSELIN, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Saue vald );8301,95;910,25;24532,6;1
10821850;AMBERTO INVEST, OÜ;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Harju ( Tallinn );;;0;
10821867;AROMA EESTI, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );2823,96;2925,24;0;3
10821956;XYZ FARM OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );0;0;0;
10821962;PILUS GRUPP OÜ;Äriühing;ei;TERVISHOID JA SOTSIAALHOOLEKANNE;Harju ( Viimsi vald );1736,37;360,5;;
10821991;KYTE.EE OÜ;Äriühing;jah;EHITUS;Harju ( Saku vald );51732,41;20651,94;377751,78;9
10822003;RAILEST OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );0;0;31753,25;
10822039;LIIVALAIA PEREARST, OÜ;Äriühing;ei;TERVISHOID JA SOTSIAALHOOLEKANNE;Harju ( Tallinn );23298,88;25014,65;;7
10822068;AKTSIASELTS IDA-TALLINNA KESKHAIGLA;Äriühing;jah;TERVISHOID JA SOTSIAALHOOLEKANNE;Harju ( Tallinn );9175467,11;9506265,86;1743917,95;2614
10822097;KLAASINTERJÖÖR OÜ;Äriühing;jah;KUNST, MEELELAHUTUS JA VABA AEG;Harju ( Tallinn );2236,72;1280,85;9943,37;2
10822128;RCD SYSTEMS OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Kiili vald );449,72;0;97917;
10822140;CARDIK, OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Saare ( Saaremaa vald );794,47;0;11800;
10822157;LARUS, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );;;2192,46;
10822269;LÄÄNE-TALLINNA KESKHAIGLA, AS;Äriühing;jah;TERVISHOID JA SOTSIAALHOOLEKANNE;Harju ( Tallinn );6876904,26;7195255,75;420488,33;2004
10822298;MERLE KAARELSONI KALLAPA TALU;FIE;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Pärnu ( Lääneranna vald );15466,12;7971,68;118047,17;5
10822306;AMEST INVEST, OÜ;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Rapla ( Rapla vald );190566,47;84404,76;1022501,38;30
10822329;POLOCONSULT, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Rae vald );281,96;0;3830;
10822453;STARHILL, OÜ;Äriühing;jah;MÄETÖÖSTUS;Harju ( Tallinn );;;0;
10822536;URMAS REINIKU JÕGILA TALU;FIE;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Harju ( Kose vald );136,01;0;3206;
